RMD,RMD_Display,PT_Count_Plotted,PTs_Plotted,PNG,PDF
RMD_Anorexia Nervosa,Anorexia Nervosa,8,PT_Augmentative Communication Devices|PT_Trauma Focused Cbt|PT_Neurocognitive Training|PT_Neuroprotective Agents|PT_Hypnotherapy|PT_Closed Loop Neurostimulation|PT_Naltrexone|PT_Digital Phenotyping,model/Bayesian/forecast/plots/Anorexia_Nervosa.png,model/Bayesian/forecast/plots/Anorexia_Nervosa.pdf
RMD_Antisocial Personality Disorder,Antisocial Personality Disorder,8,PT_Memory Retrieval Techniques|PT_Lithium Therapy|PT_Dietary Interventions And Supplements|PT_Psychoeducation Programs|PT_Speech Language Therapy|PT_Narrative Exposure Therapy|PT_Music Therapy|PT_Light Therapy,model/Bayesian/forecast/plots/Antisocial_Personality_Disorder.png,model/Bayesian/forecast/plots/Antisocial_Personality_Disorder.pdf
RMD_Autosarcophagy,Autosarcophagy,5,PT_Sleep Pattern Monitoring And Manipulation|PT_Lithium Therapy|PT_Cognitive Enhancement Programs|PT_Art Therapy|PT_Speech Language Therapy,model/Bayesian/forecast/plots/Autosarcophagy.png,model/Bayesian/forecast/plots/Autosarcophagy.pdf
RMD_Avoidant Personality Disorder,Avoidant Personality Disorder,7,PT_Deep Brain Stimulation|PT_Light Therapy|PT_Transference Focused Psychotherapy|PT_Ketamine Therapy|PT_Stimulant And Wake Promoting Agents|PT_Digital Phenotyping|PT_Pharmacogenomic Testing,model/Bayesian/forecast/plots/Avoidant_Personality_Disorder.png,model/Bayesian/forecast/plots/Avoidant_Personality_Disorder.pdf
RMD_Boanthropy,Boanthropy,1,PT_Cultural Psychiatry Interventions,model/Bayesian/forecast/plots/Boanthropy.png,model/Bayesian/forecast/plots/Boanthropy.pdf
RMD_Body Integrity Dysphoria,Body Integrity Dysphoria,8,PT_Sleep Pattern Monitoring And Manipulation|PT_Reality Testing Techniques|PT_Psilocybin Assisted Therapy|PT_Neuroplasticity Techniques|PT_Focused Ultrasound Therapy|PT_Digital Health Tools|PT_Mood Stabilizers|PT_Pharmacogenomic Testing,model/Bayesian/forecast/plots/Body_Integrity_Dysphoria.png,model/Bayesian/forecast/plots/Body_Integrity_Dysphoria.pdf
RMD_Brief Psychotic Disorder,Brief Psychotic Disorder,7,PT_Sleep Pattern Monitoring And Manipulation|PT_Psilocybin Assisted Therapy|PT_Metaverse|PT_Cognitive Assistive Technologies|PT_Focused Ultrasound Therapy|PT_Digital Health Tools|PT_Mood Stabilizers,model/Bayesian/forecast/plots/Brief_Psychotic_Disorder.png,model/Bayesian/forecast/plots/Brief_Psychotic_Disorder.pdf
RMD_Capgras Syndrome,Capgras Syndrome,8,PT_Smart Wearable Mental Health Trackers|PT_Reality Testing Techniques|PT_Metaverse|PT_Trauma Focused Cbt|PT_Digital Health Tools|PT_Antidepressants|PT_Selective Serotonin Reuptake Inhibitors|PT_Mood Stabilizers,model/Bayesian/forecast/plots/Capgras_Syndrome.png,model/Bayesian/forecast/plots/Capgras_Syndrome.pdf
RMD_Childhood Disintegrative Disorder,Childhood Disintegrative Disorder,8,PT_Cognitive Assistive Technologies|PT_Psychophysiological Metrics For Treatment Response|PT_Traditional And Alternative Medicine Approaches|PT_Resting State Fmri|PT_Narrative Exposure Therapy|PT_Electroencephalography|PT_Brain Computer Interface|PT_Transcranial Magnetic Stimulation,model/Bayesian/forecast/plots/Childhood_Disintegrative_Disorder.png,model/Bayesian/forecast/plots/Childhood_Disintegrative_Disorder.pdf
RMD_Chronic Traumatic Encephalopathy,Chronic Traumatic Encephalopathy,8,PT_Dietary Interventions And Supplements|PT_Neurofeedback Systems|PT_Psychoeducation Programs|PT_Emotion Regulation Training|PT_Virtual Reality Exposure Therapy|PT_Dialectical Behavior Therapy|PT_Neuroprotective Agents|PT_Emdr Therapy,model/Bayesian/forecast/plots/Chronic_Traumatic_Encephalopathy.png,model/Bayesian/forecast/plots/Chronic_Traumatic_Encephalopathy.pdf
